date,model,actual,forecast,delta,change_group,absolute_error,squared_error
2024-04-26,persistence,41.80000000,41.90000000,0.10000000,quiet,0.10000000,0.01000000
2024-04-27,persistence,41.60000000,41.80000000,0.20000000,quiet,0.20000000,0.04000000
2024-04-28,persistence,41.40000000,41.60000000,0.20000000,quiet,0.20000000,0.04000000
2024-04-29,persistence,41.30000000,41.40000000,0.10000000,quiet,0.10000000,0.01000000
2024-04-30,persistence,40.20000000,41.30000000,1.10000000,volatile,1.10000000,1.21000000
2024-05-01,persistence,41.10000000,40.20000000,0.90000000,volatile,0.90000000,0.81000000
2024-05-02,persistence,42.70000000,41.10000000,1.60000000,volatile,1.60000000,2.56000000
2024-05-03,persistence,42.70000000,42.70000000,0.00000000,quiet,0.00000000,0.00000000
2024-05-04,persistence,42.60000000,42.70000000,0.10000000,quiet,0.10000000,0.01000000
2024-05-05,persistence,42.30000000,42.60000000,0.30000000,medium,0.30000000,0.09000000
2024-05-06,persistence,42.20000000,42.30000000,0.10000000,quiet,0.10000000,0.01000000
2024-05-07,persistence,41.90000000,42.20000000,0.30000000,medium,0.30000000,0.09000000
2024-05-08,persistence,41.70000000,41.90000000,0.20000000,quiet,0.20000000,0.04000000
2024-05-09,persistence,41.50000000,41.70000000,0.20000000,quiet,0.20000000,0.04000000
2024-05-10,persistence,41.20000000,41.50000000,0.30000000,medium,0.30000000,0.09000000
2024-05-11,persistence,41.00000000,41.20000000,0.20000000,quiet,0.20000000,0.04000000
2024-05-12,persistence,40.80000000,41.00000000,0.20000000,quiet,0.20000000,0.04000000
2024-05-13,persistence,40.50000000,40.80000000,0.30000000,medium,0.30000000,0.09000000
2024-05-14,persistence,40.10000000,40.50000000,0.40000000,medium,0.40000000,0.16000000
2024-05-15,persistence,41.20000000,40.10000000,1.10000000,volatile,1.10000000,1.21000000
2024-05-16,persistence,42.60000000,41.20000000,1.40000000,volatile,1.40000000,1.96000000
2024-05-17,persistence,43.20000000,42.60000000,0.60000000,volatile,0.60000000,0.36000000
2024-05-18,persistence,44.70000000,43.20000000,1.50000000,volatile,1.50000000,2.25000000
2024-05-19,persistence,44.50000000,44.70000000,0.20000000,quiet,0.20000000,0.04000000
2024-05-20,persistence,45.80000000,44.50000000,1.30000000,volatile,1.30000000,1.69000000
2024-05-21,persistence,50.40000000,45.80000000,4.60000000,volatile,4.60000000,21.16000000
2024-05-22,persistence,48.00000000,50.40000000,2.40000000,volatile,2.40000000,5.76000000
2024-05-23,persistence,48.50000000,48.00000000,0.50000000,medium,0.50000000,0.25000000
2024-04-26,nbeatsx_lstm,41.80000000,41.83276400,0.10000000,quiet,0.03276400,0.00107348
2024-04-27,nbeatsx_lstm,41.60000000,41.63843500,0.20000000,quiet,0.03843500,0.00147725
2024-04-28,nbeatsx_lstm,41.40000000,41.47916400,0.20000000,quiet,0.07916400,0.00626694
2024-04-29,nbeatsx_lstm,41.30000000,41.14953600,0.10000000,quiet,0.15046400,0.02263942
2024-04-30,nbeatsx_lstm,40.20000000,41.23587400,1.10000000,volatile,1.03587400,1.07303494
2024-05-01,nbeatsx_lstm,41.10000000,41.36516600,0.90000000,volatile,0.26516600,0.07031301
2024-05-02,nbeatsx_lstm,42.70000000,39.91423800,1.60000000,volatile,2.78576200,7.76046992
2024-05-03,nbeatsx_lstm,42.70000000,40.91834000,0.00000000,quiet,1.78166000,3.17431236
