change_group,model,n,MAE,MSE,RMSE,scope,persistence_MAE,persistence_RMSE,MAE_ratio_to_persistence,RMSE_ratio_to_persistence
quiet,lstm,12,1.31248733,3.36050719,1.83316862,faithful_table_vii_28d,0.15000000,0.16329932,8.74991556,11.22581933
quiet,nbeatsx,12,0.65431275,0.85656981,0.92551057,faithful_table_vii_28d,0.15000000,0.16329932,4.36208500,5.66757161
quiet,nbeatsx_lstm,12,0.38394017,0.57550638,0.75862137,faithful_table_vii_28d,0.15000000,0.16329932,2.55960111,4.64558817
quiet,persistence,12,0.15000000,0.02666667,0.16329932,faithful_table_vii_28d,0.15000000,0.16329932,1.00000000,1.00000000
quiet,tcn,12,1.22092717,2.43036854,1.55896393,faithful_table_vii_28d,0.15000000,0.16329932,8.13951444,9.54666539
medium,lstm,6,1.15877133,1.99374430,1.41200011,faithful_table_vii_28d,0.35000000,0.35823642,3.31077524,3.94153141
medium,nbeatsx,6,0.30627900,0.15542954,0.39424553,faithful_table_vii_28d,0.35000000,0.35823642,0.87508286,1.10051773
medium,nbeatsx_lstm,6,0.45424917,0.55107867,0.74234673,faithful_table_vii_28d,0.35000000,0.35823642,1.29785476,2.07222574
medium,persistence,6,0.35000000,0.12833333,0.35823642,faithful_table_vii_28d,0.35000000,0.35823642,1.00000000,1.00000000
medium,tcn,6,2.45781400,7.38075370,2.71675426,faithful_table_vii_28d,0.35000000,0.35823642,7.02232571,7.58369082
volatile,lstm,10,2.22030350,7.81713943,2.79591478,faithful_table_vii_28d,1.65000000,1.97408207,1.34563848,1.41631132
volatile,nbeatsx,10,1.52415850,4.51263032,2.12429525,faithful_table_vii_28d,1.65000000,1.97408207,0.92373242,1.07609268
volatile,nbeatsx_lstm,10,1.43763860,2.84942970,1.68802539,faithful_table_vii_28d,1.65000000,1.97408207,0.87129612,0.85509383
volatile,persistence,10,1.65000000,3.89700000,1.97408207,faithful_table_vii_28d,1.65000000,1.97408207,1.00000000,1.00000000
volatile,tcn,10,2.70804810,9.76059461,3.12419503,faithful_table_vii_28d,1.65000000,1.97408207,1.64124127,1.58260646
