date,model,actual,forecast
2023-05-25,persistence,51.50000000,51.50000000
2023-05-26,persistence,51.40000000,51.50000000
2023-05-27,persistence,51.30000000,51.40000000
2023-05-28,persistence,51.50000000,51.30000000
2023-05-29,persistence,51.50000000,51.50000000
2023-05-30,persistence,51.60000000,51.50000000
2023-05-31,persistence,51.60000000,51.60000000
2023-06-01,persistence,51.60000000,51.60000000
2023-06-02,persistence,51.50000000,51.60000000
2023-06-03,persistence,51.50000000,51.50000000
2023-06-04,persistence,51.60000000,51.50000000
2023-06-05,persistence,51.60000000,51.60000000
2023-06-06,persistence,51.70000000,51.60000000
2023-06-07,persistence,51.80000000,51.70000000
2023-06-08,persistence,51.70000000,51.80000000
2023-06-09,persistence,51.60000000,51.70000000
2023-06-10,persistence,51.50000000,51.60000000
2023-06-11,persistence,51.40000000,51.50000000
2023-06-12,persistence,51.30000000,51.40000000
2023-06-13,persistence,51.00000000,51.30000000
2023-06-14,persistence,50.90000000,51.00000000
2023-06-15,persistence,50.70000000,50.90000000
2023-06-16,persistence,51.30000000,50.70000000
2023-06-17,persistence,51.60000000,51.30000000
2023-06-18,persistence,51.70000000,51.60000000
2023-06-19,persistence,51.60000000,51.70000000
2023-06-20,persistence,51.60000000,51.60000000
2023-06-21,persistence,51.70000000,51.60000000
2023-06-22,persistence,51.70000000,51.70000000
2023-06-23,persistence,51.60000000,51.70000000
2023-06-24,persistence,51.60000000,51.60000000
2023-06-25,persistence,51.50000000,51.60000000
2023-06-26,persistence,51.40000000,51.50000000
2023-06-27,persistence,51.60000000,51.40000000
2023-06-28,persistence,51.50000000,51.60000000
2023-06-29,persistence,51.60000000,51.50000000
2023-06-30,persistence,51.60000000,51.60000000
2023-07-01,persistence,51.60000000,51.60000000
2023-07-02,persistence,51.80000000,51.60000000
2023-07-03,persistence,51.80000000,51.80000000
2023-07-04,persistence,51.90000000,51.80000000
2023-07-05,persistence,51.90000000,51.90000000
2023-07-06,persistence,51.60000000,51.90000000
2023-07-07,persistence,51.70000000,51.60000000
2023-07-08,persistence,51.70000000,51.70000000
2023-07-09,persistence,51.80000000,51.70000000
2023-07-10,persistence,51.80000000,51.80000000
2023-07-11,persistence,51.80000000,51.80000000
2023-07-12,persistence,51.70000000,51.80000000
2023-07-13,persistence,51.90000000,51.70000000
