date,checkpoint_prediction,retained_222_prediction,difference,absolute_difference
2024-04-26,41.8327636719,41.8327640000,-0.0000003281,0.0000003281
2024-04-27,41.6384353638,41.6384350000,0.0000003638,0.0000003638
2024-04-28,41.4791641235,41.4791640000,0.0000001235,0.0000001235
2024-04-29,41.1495361328,41.1495360000,0.0000001328,0.0000001328
2024-04-30,41.2358741760,41.2358740000,0.0000001760,0.0000001760
2024-05-01,41.3651657104,41.3651660000,-0.0000002896,0.0000002896
2024-05-02,39.9142379761,39.9142380000,-0.0000000239,0.0000000239
2024-05-03,40.9183387756,40.9183400000,-0.0000012244,0.0000012244
2024-05-04,42.3279724121,42.3279720000,0.0000004121,0.0000004121
2024-05-05,42.5480232239,42.5480230000,0.0000002239,0.0000002239
2024-05-06,42.3414382935,42.3414400000,-0.0000017065,0.0000017065
2024-05-07,42.0971908569,42.0971900000,0.0000008569,0.0000008569
2024-05-08,41.8234329224,41.8234330000,-0.0000000776,0.0000000776
2024-05-09,41.4733505249,41.4733500000,0.0000005249,0.0000005249
2024-05-10,41.2479057312,41.2479060000,-0.0000002688,0.0000002688
2024-05-11,40.9650764465,40.9650760000,0.0000004465,0.0000004465
2024-05-12,40.7679100037,40.7679100000,0.0000000037,0.0000000037
2024-05-13,40.5803756714,40.5803760000,-0.0000003286,0.0000003286
2024-05-14,40.5120086670,40.5120100000,-0.0000013330,0.0000013330
2024-05-15,40.2021255493,40.2021260000,-0.0000004507,0.0000004507
2024-05-16,41.8552436829,41.8552440000,-0.0000003171,0.0000003171
2024-05-17,41.1241302490,41.1241300000,0.0000002490,0.0000002490
2024-05-18,42.1776542664,42.1776540000,0.0000002664,0.0000002664
2024-05-19,42.6057701111,42.6057700000,0.0000001111,0.0000001111
2024-05-20,44.1996154785,44.1996150000,0.0000004785,0.0000004785
2024-05-21,50.2382431030,50.2382430000,0.0000001030,0.0000001030
2024-05-22,45.8134040833,45.8134040000,0.0000000833,0.0000000833
2024-05-23,50.2399902344,50.2399900000,0.0000002344,0.0000002344
