model,metric,observed_full_precision,observed_4dp,expected_table_vii_4dp,pass
persistence,MAE,0.7285714285714285,0.7286,0.7286,True
persistence,MSE,1.4307142857142854,1.4307,1.4307,True
persistence,RMSE,1.1961246948852304,1.1961,1.1961,True
persistence,sMAPE,1.6471758929808764,1.6472,1.6472,True
persistence,R2,0.7756761134898715,0.7757,0.7757,True
nbeatsx_lstm,MAE,0.7753272499999999,0.7753,0.7753,True
nbeatsx_lstm,MSE,1.3823873459106097,1.3824,1.3824,True
nbeatsx_lstm,RMSE,1.1757496952628181,1.1757,1.1757,True
nbeatsx_lstm,sMAPE,1.7917048429881188,1.7917,1.7917,True
nbeatsx_lstm,R2,0.7832533684793184,0.7833,0.7833,True
nbeatsx,MAE,0.8903932857142856,0.8904,0.8904,True
nbeatsx,MSE,2.0120613625397166,2.0121,2.0121,True
nbeatsx,RMSE,1.4184714880954488,1.4185,1.4185,True
nbeatsx,sMAPE,2.0587712424885503,2.0588,2.0588,True
nbeatsx,R2,0.6845258139598185,0.6845,0.6845,True
lstm,MAE,1.6037682499999995,1.6038,1.6038,True
lstm,MSE,4.65928379957189,4.6593,4.6593,True
lstm,RMSE,2.1585374213971575,2.1585,2.1585,True
lstm,sMAPE,3.75296551408423,3.753,3.753,True
lstm,R2,0.2694637491846714,0.2695,0.2695,True
tcn,MAE,2.017088964285713,2.0171,2.0171,True
tcn,MSE,6.109103241742103,6.1091,6.1091,True
tcn,RMSE,2.471660017425961,2.4717,2.4717,True
tcn,sMAPE,4.616189722928643,4.6162,4.6162,True
tcn,R2,0.042144335900699326,0.0421,0.0421,True
