model,horizon,seed,n_forecast_cells,MAE,MSE,RMSE,sMAPE,R2,source
NBeatsx_LSTM,1,1,365,0.8844768106,2.8515662825,1.6886581307,2.2102804159,0.9620927322,E4 clean-split reuse
NBeatsx_LSTM,1,2,365,0.8635633808,2.5623481869,1.6007336402,2.1302215198,0.9659374501,E4 clean-split reuse
NBeatsx_LSTM,1,3,365,0.8697453747,2.6450529084,1.6263618627,2.1737997224,0.9648380157,E4 clean-split reuse
NBeatsx_LSTM,1,42,365,0.9056476907,3.6182415029,1.9021675801,2.2329110749,0.9519009429,E4 clean-split reuse
NBeatsx_LSTM,1,2024,365,0.8919545317,2.7222170765,1.6499142634,2.1785274849,0.9638122346,E4 clean-split reuse
Persistence,1,0,365,0.8991780822,3.0355616438,1.7422863266,2.3045113125,0.9596467918,deterministic last observation
NBeatsx_LSTM,3,1,1089,1.3813451044,6.2641598557,2.5028303689,3.5086176246,0.9170166670,e5_h3_mae_seed1_test_forecasts.csv
NBeatsx_LSTM,3,2,1089,1.3742061069,5.9937503172,2.4482136993,3.4828715093,0.9205988688,e5_h3_mae_seed2_test_forecasts.csv
NBeatsx_LSTM,3,3,1089,1.3936425954,6.2658581290,2.5031696165,3.5224864885,0.9169941694,e5_h3_mae_seed3_test_forecasts.csv
NBeatsx_LSTM,3,42,1089,1.4403123199,6.8172294522,2.6109824688,3.6528452473,0.9096899768,e5_h3_mae_seed42_test_forecasts.csv
NBeatsx_LSTM,3,2024,1089,1.4153861422,6.3249933445,2.5149539448,3.5806922857,0.9162107862,e5_h3_mae_seed2024_test_forecasts.csv
Persistence,3,0,1089,1.4964187450,6.9193023700,2.6304566847,3.8794607735,0.9083377841,last observation repeated across horizon
NBeatsx_LSTM,7,1,2513,2.0882427900,11.5475681233,3.3981712910,5.3827843710,0.8480950559,e5_h7_mae_seed1_test_forecasts.csv
NBeatsx_LSTM,7,2,2513,2.1191774923,12.2049898017,3.4935640543,5.4963113087,0.8394468624,e5_h7_mae_seed2_test_forecasts.csv
NBeatsx_LSTM,7,3,2513,2.2709523439,13.6517713294,3.6948303519,5.9192050415,0.8204148667,e5_h7_mae_seed3_test_forecasts.csv
NBeatsx_LSTM,7,42,2513,2.2585081244,13.7595666229,3.7093889824,5.8752582888,0.8189968506,e5_h7_mae_seed42_test_forecasts.csv
NBeatsx_LSTM,7,2024,2513,2.1348903586,12.1862634728,3.4908829074,5.5222893183,0.8396932019,e5_h7_mae_seed2024_test_forecasts.csv
Persistence,7,0,2513,2.3073617317,14.2300043440,3.7722677986,6.0538846145,0.8128083774,last observation repeated across horizon
NBeatsx_LSTM,14,1,4928,3.0187400831,24.2868584398,4.9281698875,8.0353222020,0.6845438312,e5_h14_mae_seed1_test_forecasts.csv
NBeatsx_LSTM,14,2,4928,3.0123455273,24.5353312526,4.9533151780,8.0423712394,0.6813164775,e5_h14_mae_seed2_test_forecasts.csv
NBeatsx_LSTM,14,3,4928,3.0930629756,25.1323469305,5.0132172236,8.2207260100,0.6735619843,e5_h14_mae_seed3_test_forecasts.csv
NBeatsx_LSTM,14,42,4928,3.0480770082,24.8789821617,4.9878835353,8.1120595420,0.6768528784,e5_h14_mae_seed42_test_forecasts.csv
NBeatsx_LSTM,14,2024,4928,3.0855053783,25.3186811943,5.0317672039,8.2014188868,0.6711417334,e5_h14_mae_seed2024_test_forecasts.csv
Persistence,14,0,4928,3.0808441843,26.1488844902,5.1135979985,8.2004174496,0.6603584222,last observation repeated across horizon
