model,horizon,seed,n_forecast_cells,MAE,MSE,RMSE,sMAPE,R2,source,training_loss
NBeatsx_LSTM,1,1,365,0.8844768106,2.8515662825,1.6886581307,2.2102804159,0.9620927322,E4 clean-split reuse,MAE
NBeatsx_LSTM,1,2,365,0.8635633808,2.5623481869,1.6007336402,2.1302215198,0.9659374501,E4 clean-split reuse,MAE
NBeatsx_LSTM,1,3,365,0.8697453747,2.6450529084,1.6263618627,2.1737997224,0.9648380157,E4 clean-split reuse,MAE
NBeatsx_LSTM,1,42,365,0.9056476907,3.6182415029,1.9021675801,2.2329110749,0.9519009429,E4 clean-split reuse,MAE
NBeatsx_LSTM,1,2024,365,0.8919545317,2.7222170765,1.6499142634,2.1785274849,0.9638122346,E4 clean-split reuse,MAE
Persistence,1,0,365,0.8991780822,3.0355616438,1.7422863266,2.3045113125,0.9596467918,deterministic last observation,none
NBeatsx_LSTM,1,1,365,1.2072797854,10.5495339968,3.2480046177,2.8220345800,0.8597598756,e6_h1_mse_seed1_test_forecasts.csv,MSE
NBeatsx_LSTM,1,2,365,0.9040779375,2.4072485308,1.5515310280,2.2105789593,0.9679992658,e6_h1_mse_seed2_test_forecasts.csv,MSE
NBeatsx_LSTM,1,3,365,0.9890013342,2.7153905785,1.6478442215,2.3615008102,0.9639029826,e6_h1_mse_seed3_test_forecasts.csv,MSE
NBeatsx_LSTM,1,42,365,1.0819538378,3.2477838788,1.8021608915,2.6517778583,0.9568256176,e6_h1_mse_seed42_test_forecasts.csv,MSE
NBeatsx_LSTM,1,2024,365,0.9942679627,2.9491759646,1.7173165010,2.3957171254,0.9607951589,e6_h1_mse_seed2024_test_forecasts.csv,MSE
